id,qb,p1,p2,opp_p1,sal,proj,actual,diff
49796,Ryan Tannehill,A.J. Brown,Corey Davis,Jordan Akins,28800,57,62.34,1.093684211
49813,Ryan Tannehill,A.J. Brown,Jonnu Smith,Chad Hansen,27100,55.4,58.44,1.054873646
49818,Ryan Tannehill,A.J. Brown,Jonnu Smith,Jordan Akins,26900,52.9,57.24,1.082041588
49969,Lamar Jackson,Mark Andrews,Marquise Brown,Darius Slayton,27000,55.3,46.02,0.832188065
49974,Lamar Jackson,Mark Andrews,Marquise Brown,Sterling Shepard,27500,54.7,60.62,1.108226691
49979,Lamar Jackson,Mark Andrews,Marquise Brown,Evan Engram,27300,53.6,52.92,0.987313433
49847,Deshaun Watson,Brandin Cooks,Keke Coutee,A.J. Brown,30100,61.34,99,1.613955005
49865,Deshaun Watson,Brandin Cooks,Chad Hansen,A.J. Brown,29600,59.44,89.6,1.507402423
49850,Deshaun Watson,Brandin Cooks,Keke Coutee,Corey Davis,28900,57.64,79.3,1.375780708
49881,Deshaun Watson,Brandin Cooks,Jordan Akins,A.J. Brown,29400,56.94,88.4,1.552511416
49870,Deshaun Watson,Brandin Cooks,Chad Hansen,Corey Davis,28400,55.74,69.9,1.254036598
49857,Deshaun Watson,Brandin Cooks,Keke Coutee,Jonnu Smith,27000,53.54,74.2,1.385879716
49885,Deshaun Watson,Brandin Cooks,Jordan Akins,Corey Davis,28200,53.24,68.7,1.290383171
49876,Deshaun Watson,Brandin Cooks,Chad Hansen,Jonnu Smith,26500,51.64,64.8,1.254841208
49890,Deshaun Watson,Brandin Cooks,Jordan Akins,Jonnu Smith,26300,49.14,63.6,1.294261294
52027,Matt Ryan,Julio Jones,Calvin Ridley,Mike Evans,31000,72.6,43.94,0.60523416
52031,Matt Ryan,Julio Jones,Calvin Ridley,Chris Godwin,30800,68.8,70.84,1.029651163
52034,Matt Ryan,Julio Jones,Calvin Ridley,Cameron Brate,28400,60.7,36.94,0.608566722
50830,Deshaun Watson,Will Fuller V,Brandin Cooks,A.J. Brown,27100,60.8,90.7,1.491776316
49743,Russell Wilson,DK Metcalf,Tyler Lockett,Sterling Shepard,31000,60.7,40.52,0.667545305
49749,Russell Wilson,DK Metcalf,Tyler Lockett,Darius Slayton,31100,60.4,37.72,0.624503311
49755,Russell Wilson,DK Metcalf,Tyler Lockett,Evan Engram,31400,59.8,41.02,0.685953177
50834,Deshaun Watson,Will Fuller V,Randall Cobb,A.J. Brown,26500,58.9,82.6,1.40237691
50832,Deshaun Watson,Will Fuller V,Brandin Cooks,Jonnu Smith,26400,58.6,72.4,1.235494881
50841,Deshaun Watson,Will Fuller V,Darren Fells,A.J. Brown,26500,57.2,90.9,1.589160839
50837,Deshaun Watson,Will Fuller V,Randall Cobb,Jonnu Smith,25800,56.7,64.3,1.134038801
50845,Deshaun Watson,Will Fuller V,Darren Fells,Jonnu Smith,25800,55,72.6,1.32
49758,Russell Wilson,DK Metcalf,Jacob Hollister,Sterling Shepard,28000,52.8,34.72,0.657575758
49763,Russell Wilson,DK Metcalf,Jacob Hollister,Darius Slayton,28100,52.5,31.92,0.608
49769,Russell Wilson,DK Metcalf,Jacob Hollister,Evan Engram,28400,51.9,35.22,0.678612717
52571,Matt Ryan,Julio Jones,Calvin Ridley,Cooper Kupp,29400,69.3,28.86,0.416450216
52591,Matt Ryan,Julio Jones,Austin Hooper,Cooper Kupp,30500,68.9,36.46,0.529172714
52610,Matt Ryan,Julio Jones,Mohamed Sanu,Cooper Kupp,29400,65.8,24.66,0.374772036
52574,Matt Ryan,Julio Jones,Calvin Ridley,Robert Woods,28900,65.1,31.96,0.49093702
52579,Matt Ryan,Julio Jones,Calvin Ridley,Brandin Cooks,28300,65,28.76,0.442461538
52594,Matt Ryan,Julio Jones,Austin Hooper,Robert Woods,30000,64.7,39.56,0.611437403
52597,Matt Ryan,Julio Jones,Austin Hooper,Brandin Cooks,29400,64.6,36.36,0.562848297
52612,Matt Ryan,Julio Jones,Mohamed Sanu,Robert Woods,28900,61.6,27.76,0.450649351
52616,Matt Ryan,Julio Jones,Mohamed Sanu,Brandin Cooks,28300,61.5,24.56,0.399349593
52585,Matt Ryan,Julio Jones,Calvin Ridley,Gerald Everett,27500,59.8,33.86,0.566220736
52602,Matt Ryan,Julio Jones,Austin Hooper,Gerald Everett,28600,59.4,41.46,0.697979798
52588,Matt Ryan,Julio Jones,Calvin Ridley,Tyler Higbee,26100,57.5,22.16,0.385391304
52606,Matt Ryan,Julio Jones,Austin Hooper,Tyler Higbee,27200,57.1,29.76,0.521190893
52622,Matt Ryan,Julio Jones,Mohamed Sanu,Gerald Everett,27500,56.3,29.66,0.526820604
52627,Matt Ryan,Julio Jones,Mohamed Sanu,Tyler Higbee,26100,54,17.96,0.332592593
