player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
Larry Fitzgerald,Main-19-FD-05,5800,WR,ARI,14.2,0,0,45,21,3,8.8,0.61971831
DK Metcalf,Main-21-FD-01,7700,WR,SEA,14.1,10.4,0,49,26,-3,14,0.992907801
DK Metcalf,Main-20-FD-17,7600,WR,SEA,14.1,0,0,45,26,-7,3.6,0.255319149
Tyler Lockett,Main-20-FD-07,7400,WR,SEA,14.1,0,0,55.5,29.5,-3.5,45.5,3.226950355
Will Fuller V,Main-20-FD-06,6700,WR,HOU,14.1,0,0,52,24,4,21.3,1.510638298
Davante Adams,Main-19-FD-15,7800,WR,GB,14.1,0,0,40,22,-4,19.8,1.404255319
Julian Edelman,Main-19-FD-12,7500,WR,NE,14.1,0,0,44.5,25,-5.5,13.3,0.943262411
Calvin Ridley,Main-19-FD-12,6700,WR,ATL,14.1,0,0,51.5,27.5,-3.5,19,1.34751773
Odell Beckham Jr.,Main-19-FD-12,7000,WR,CLE,14.1,0,0,45.5,28.3,-11,17.4,1.234042553
DJ Chark Jr.,Main-19-FD-12,7000,WR,JAC,14.1,0,0,42,18.8,4.5,8.3,0.588652482
Julian Edelman,Main-19-FD-11,7400,WR,NE,14.1,0,0,45,24.8,-4.5,12.4,0.879432624
Julio Jones,Main-19-FD-01,8500,WR,ATL,14.1,0,0,47,21.8,3.5,12.1,0.858156028
Allen Robinson II,Main-20-FD-17,7700,WR,CHI,14,0,0,48.5,22,4.5,4.7,0.335714286
Robert Woods,Main-20-FD-15,7400,WR,LAR,14,0,0,44,30.75,-17.5,18.6,1.328571429
Kenny Golladay,Main-19-FD-15,7900,WR,DET,14,0,0,46,20.3,5.5,5.9,0.421428571
DJ Chark Jr.,Main-19-FD-13,6900,WR,JAC,14,0,0,46.5,21.8,3,5.7,0.407142857
DJ Moore,Main-19-FD-11,6000,WR,CAR,14,0,0,49,26.3,-3.5,13.5,0.964285714
Adam Thielen,Main-19-FD-06,7200,WR,MIN,14,0,0,44,23.8,-3.5,14.7,1.05
Robert Woods,Main-20-FD-16,7300,WR,LAR,13.9,0,0,48,23.3,1.5,6.9,0.496402878
Adam Thielen,Main-20-FD-13,7800,WR,MIN,13.9,0,0,51,30.75,-10.5,17.5,1.258992806
Calvin Ridley,Main-20-FD-13,8400,WR,ATL,13.9,0,0,46,21.75,2.5,13.3,0.956834532
Julio Jones,Main-20-FD-06,8200,WR,ATL,13.9,0,0,53.5,25,3.5,29.7,2.136690647
Robby Anderson,Main-20-FD-05,6200,WR,CAR,13.9,0,0,53.5,25.5,2.5,15.5,1.115107914
DJ Moore,Main-19-FD-15,6900,WR,CAR,13.9,0,0,48.5,21.3,6,16.3,1.172661871
Tyler Lockett,Main-19-FD-12,7400,WR,SEA,13.9,0,0,45.5,23.3,-1,4.3,0.309352518
Davante Adams,Main-19-FD-10,7800,WR,GB,13.9,0,0,49,27,-5,15.3,1.100719424
Julian Edelman,Main-19-FD-08,6600,WR,NE,13.9,0,0,43,26.3,-9.5,23.5,1.690647482
T.Y. Hilton,Main-19-FD-07,7600,WR,IND,13.9,0,0,46.5,24,-1.5,16.4,1.179856115
Tyler Lockett,Main-19-FD-06,6300,WR,SEA,13.9,0,0,45.5,22.3,1,10.3,0.741007194
Michael Thomas,Main-19-FD-03,8000,WR,NO,13.9,0,0,44,19.5,5,13.9,1
Allen Robinson II,Main-20-FD-14,7000,WR,CHI,13.8,0,0,46,22.5,1,22.8,1.652173913
Keenan Allen,Main-20-FD-13,8100,WR,LAC,13.8,0,0,47,24.75,-2.5,7.3,0.528985507
A.J. Brown,Main-20-FD-12,7500,WR,TEN,13.8,0,0,51.5,24.3,3,23.8,1.724637681
Tyler Lockett,Main-20-FD-10,7400,WR,SEA,13.8,0,0,55,26,3,9.1,0.65942029
Stefon Diggs,Main-20-FD-08,7100,WR,BUF,13.8,0,0,41,22.5,-4,12.2,0.884057971
Robert Woods,Main-20-FD-05,6700,WR,LAR,13.8,0,0,45,26,-7,15.1,1.094202899
DJ Moore,Main-20-FD-05,6600,WR,CAR,13.8,0,0,53.5,25.5,2.5,17.3,1.253623188
Will Fuller V,Main-20-FD-05,6600,WR,HOU,13.8,0,0,55,30.8,-6.5,13.8,1
DJ Chark Jr.,Main-20-FD-05,7000,WR,JAC,13.8,0,0,55,24.3,6.5,3.1,0.224637681
Robert Woods,Main-20-FD-04,6700,WR,LAR,13.8,0,0,50,31.8,-13.5,6.7,0.485507246
Courtland Sutton,Main-19-FD-17,7100,WR,DEN,13.8,0,0,41.5,23.5,-5.5,7.2,0.52173913
