,start_lap,end_lap,reason,comment,race_name,series
250,114,117,Spin,#99 Spin Backstretch,EchoPark 250,2
251,119,123,Accident,"#10, 51 Incident Turn 1 ",EchoPark 250,2
252,133,137,Accident,"#8, 39 Incident Turn 4",EchoPark 250,2
253,92,97,Accident,"#54, 99 Incident Turn 4 / Stage 2 Conclusion",Alsco Uniforms 300,2
254,100,103,Accident,"#0, 5 Incident Turn 2",Alsco Uniforms 300,2
255,121,124,Spin,#10 Spin Turn 4,Alsco Uniforms 300,2
256,146,150,Debris,Debris,Alsco Uniforms 300,2
257,152,159,Accident,"#02, 8, 39 Incident Turn 2",Alsco Uniforms 300,2
258,183,186,Spin,#99 Spin Turn 2,Alsco Uniforms 300,2
259,188,193,Accident,"#1, 9, 11, 18, 19, 44, 98 Incident Turn 1",Alsco Uniforms 300,2
260,27,30,Competition,Competition Caution,Folds of Honor QuikTrip 500,1
261,107,112,Competition,Stage 1 Conclusion,Folds of Honor QuikTrip 500,1
262,114,118,Accident,"#1, 11 Incident Turn 1",Folds of Honor QuikTrip 500,1
263,212,217,Competition,Stage 2 Conclusion,Folds of Honor QuikTrip 500,1
264,221,224,Unknown,Fluid on Track,Folds of Honor QuikTrip 500,1
265,8,11,Accident,"#7, 23 Incident Turn 3",NASCAR Cup Series Championship,1
266,16,20,Accident,"#7, 47 Incident Turn 3 ",NASCAR Cup Series Championship,1
267,77,83,Competition,Stage 1 Conclusion,NASCAR Cup Series Championship,1
268,130,135,Accident,#00 Incident Turn 4,NASCAR Cup Series Championship,1
269,141,145,Accident,#47 Incident Turn 3,NASCAR Cup Series Championship,1
270,156,161,Accident,"#14, 18 Incident Turn 3",NASCAR Cup Series Championship,1
271,192,197,Competition,Stage 2 Conclusion,NASCAR Cup Series Championship,1
272,249,254,Accident,#38 Incident Turn 2,NASCAR Cup Series Championship,1
273,283,288,Debris,Debris in Turn 3,NASCAR Cup Series Championship,1
274,17,20,Competition,Competition Caution,In It To Win It 200,3
275,23,26,Debris,Debris frontstretch,In It To Win It 200,3
276,28,30,Spin,#9 Spin Turn 2,In It To Win It 200,3
277,47,52,Competition,Stage 1 Conclusion,In It To Win It 200,3
278,68,71,Accident,"#02, 24, 99 Incident Turn 4",In It To Win It 200,3
279,92,97,Competition,Stage 2 Conclusion,In It To Win It 200,3
280,107,110,Accident,"#19, 45 Incident Turn 4",In It To Win It 200,3
281,112,115,Spin,#34 Spin backstretch,In It To Win It 200,3
282,17,21,Weather,Competition / Weather [Red Flag: 16:19:27],Wawa 250,2
283,28,33,Accident,"#1, 22, 2, 18, 8 Incident Frontstretch / Stage 1 Conclusion",Wawa 250,2
284,36,39,Debris,Debris Turn 2,Wawa 250,2
285,50,52,Debris,Debris Frontstretch,Wawa 250,2
286,62,64,Competition,Stage 2 Conclusion,Wawa 250,2
287,73,77,Accident,"#26, 15, 07 Incident Turn 4",Wawa 250,2
288,84,86,Accident,"#90, 31, 48, 5 Incident Backstretch",Wawa 250,2
289,27,29,Competition,Stage 1 Conclusion,Ag-Pro 300,2
290,52,55,Competition,Stage 2 Conclusion,Ag-Pro 300,2
