player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
Kyle Rudolph,Main-19-FD-14,4800,TE,MIN,9.7,0,0,43.5,27.8,-12,2.1,0.216494845
Jared Cook,Main-19-FD-14,6500,TE,NO,9.7,0,0,45,23,-1,19.4,2
Noah Fant,Main-20-FD-10,5700,TE,DEN,9.6,0,0,50.5,23.5,3.5,3.3,0.34375
Noah Fant,Main-20-FD-07,6000,TE,DEN,9.6,0,0,46,19.5,7,5.3,0.552083333
Zach Ertz,Main-19-FD-09,6000,TE,PHI,9.6,0,0,41,23,-5,20.8,2.166666667
Delanie Walker,Main-19-FD-02,5900,TE,TEN,9.6,0,0,43.5,23.3,-3,5.9,0.614583333
Dallas Goedert,Main-20-FD-03,5200,TE,PHI,9.6,0,0,46.5,26,-5.5,1.2,0.125
Tyler Higbee,Main-20-FD-03,6100,TE,LAR,9.6,0,0,46.5,22.5,1.5,7,0.729166667
Darren Waller,Main-20-FD-01,6800,TE,LV,9.6,0,1.6,48,25.5,-3,7.5,0.78125
Jonnu Smith,Main-20-FD-08,6100,TE,TEN,9.5,0,0,49.5,28.5,-7.5,3.9,0.410526316
Robert Tonyan,Main-20-FD-07,6000,TE,GB,9.5,0,0,55.5,29,-2.5,4.2,0.442105263
Jonnu Smith,Main-20-FD-03,5600,TE,TEN,9.5,0,0,49.5,26.3,-3,8.6,0.905263158
Jared Cook,Main-20-FD-17,5700,TE,NO,9.4,0,0,47,26.5,-6,12.3,1.308510638
T.J. Hockenson,Main-20-FD-17,5800,TE,DET,9.4,0,0,54,25.5,3,4,0.425531915
Noah Fant,Main-20-FD-16,6200,TE,DEN,9.4,0,0,47.5,22.5,2.5,9.5,1.010638298
Mark Andrews,Main-19-FD-13,6500,TE,BAL,9.4,0,0,45,25.3,-5.5,12.5,1.329787234
Hayden Hurst,Main-20-FD-03,5700,TE,ATL,9.4,0,0,46,24.3,-2.5,6.6,0.70212766
Dallas Goedert,Main-20-FD-10,5800,TE,PHI,9.3,0,0,46,25.5,-5,5.3,0.569892473
T.J. Hockenson,Main-19-FD-02,6000,TE,DET,9.3,0,0,47,23,1,1.2,0.129032258
Robert Tonyan,Main-20-FD-17,6300,TE,GB,9.2,0,0,48.5,26.5,-4.5,8.8,0.956521739
Hunter Henry,Main-20-FD-12,5900,TE,LAC,9.2,0,0,51,23.3,4.5,10.2,1.108695652
Hunter Henry,Main-20-FD-08,5600,TE,LAC,9.2,0,0,44.5,23.8,-3,5.3,0.576086957
Dallas Goedert,Main-19-FD-15,5700,TE,PHI,9.2,0,0,38,22.5,-7,8,0.869565217
Greg Olsen,Main-19-FD-11,5100,TE,CAR,9.2,0,0,49,26.3,-3.5,8.2,0.891304348
Greg Olsen,Main-19-FD-03,6100,TE,CAR,9.2,0,0,46,21.8,2.5,22.5,2.445652174
Rob Gronkowski,Main-20-FD-17,6100,TE,TB,9.1,0,0,51,29.3,-7.5,3.9,0.428571429
T.J. Hockenson,Main-20-FD-15,6200,TE,DET,9.1,0,0,51.5,20.3,11,0.8,0.087912088
T.J. Hockenson,Main-20-FD-08,6000,TE,DET,9.1,0,0,49,22.8,3.5,10,1.098901099
Zach Ertz,Main-20-FD-06,6000,TE,PHI,9.1,0,0,46.5,18,10.5,5.3,0.582417582
Hunter Henry,Main-19-FD-17,6000,TE,LAC,9.1,0,0,46,18,10,12.7,1.395604396
Jacob Hollister,Main-19-FD-16,5700,TE,SEA,9.1,0,0,51,29.5,-8,8.9,0.978021978
O.J. Howard,Main-19-FD-01,6500,TE,TB,9.1,0,0,51,26,-1,3.2,0.351648352
Dallas Goedert,Main-20-FD-16,5700,TE,PHI,9,0,0,50,26.5,-3,5.3,0.588888889
Hunter Henry,Main-20-FD-14,5600,TE,LAC,9,0,0,49,25.25,-1.5,7.1,0.788888889
T.J. Hockenson,Main-20-FD-13,6100,TE,DET,9,0,0,44,20.5,3,11.9,1.322222222
Hunter Henry,Main-20-FD-09,5600,TE,LAC,9,0,0,52.5,25.8,1,5.3,0.588888889
Jared Cook,Main-20-FD-08,5800,TE,NO,9,0,0,41,23,-5,13.6,1.511111111
Jonnu Smith,Main-20-FD-07,6200,TE,TEN,9,0,0,51,26,-1,1.4,0.155555556
Noah Fant,Main-20-FD-03,5800,TE,DEN,9,0,0,42.5,18.3,6,7.1,0.788888889
Hunter Henry,Main-20-FD-01,6000,TE,LAC,9,0,1.5,41.5,22,-2.5,9.8,1.088888889
Dallas Goedert,Main-20-FD-13,6200,TE,PHI,8.9,0,0,50,21,8,9.1,1.02247191
