,race__race_name,start_lap,end_lap,reason,comment
167,Instacart 500,263,268,Accident,#8 Incident Turn 2
168,Instacart 500,283,287,Accident,"#18, #42 Incident Frontstretch"
169,Fr8Auctions 200,17,20,Competition,Competition Caution
170,Fr8Auctions 200,32,37,Competition,Stage 1 Conclusion
171,Fr8Auctions 200,62,67,Competition,Stage 2 Conclusion
172,Chevrolet Silverado 250,22,25,Competition,Stage 1 Conclusion
173,Chevrolet Silverado 250,30,33,Accident,#28 Incident on the Backstretch
174,Chevrolet Silverado 250,42,47,Competition,Stage 2 Conclusion
175,Chevrolet Silverado 250,59,63,Accident,"#02, 04, 1, 10, 11, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 33, 34, 38, 45, 51, 75 Incident in Turn 3"
176,Chevrolet Silverado 250,77,82,Accident,"#1, 11, 45, 52, 88, 98 Incident on the Frontstretch"
177,Chevrolet Silverado 250,94,97,Spin,#23 Spin on the Frontstretch
178,Alsco Uniforms 300,18,25,Spin,#99 Spin Turn 4 / Competition
179,Alsco Uniforms 300,47,52,Competition,Stage 1 Conclusion
180,Alsco Uniforms 300,57,62,Accident,"#1, 54, 98 Incident Turn 2"
181,Alsco Uniforms 300,66,69,Accident,#39 Incident Frontstretch
182,Alsco Uniforms 300,73,76,Accident,"#11, 8 Incident Turn 3"
183,Alsco Uniforms 300,92,97,Competition,Stage 2 Conclusion
184,Alsco Uniforms 300,175,179,Accident,"#20, 22 Incident Frontstretch"
185,Alsco Uniforms 300,182,187,Accident,"#54, 02, 36, 17, 13 Incident Backstretch"
186,Pocono Green 225 Recycled by J.P. Mascaro & Sons,12,17,Accident,"#26, 92 Incident Turn 1"
187,Pocono Green 225 Recycled by J.P. Mascaro & Sons,22,24,Competition,Stage 1 Conclusion
188,Pocono Green 225 Recycled by J.P. Mascaro & Sons,26,28,Accident,"#6, 8, 11 Incident Turn 1 [Red Flag: 00:05:41]"
189,Pocono Green 225 Recycled by J.P. Mascaro & Sons,36,38,Accident,#20 Incident Turn 1
190,Pocono Green 225 Recycled by J.P. Mascaro & Sons,42,44,Competition,Stage 2 Conclusion
191,Pocono Green 225 Recycled by J.P. Mascaro & Sons,47,49,Accident,"#98, 15 Incident Turn 2"
192,NASCAR Xfinity Series Championship,47,52,Competition,Stage 1 Conclusion
193,NASCAR Xfinity Series Championship,61,65,Accident,"#0, 17, 47 Incident Backstretch"
194,NASCAR Xfinity Series Championship,92,97,Competition,Stage 2 Conclusion
195,NASCAR Xfinity Series Championship,100,105,Accident,"#17, 31 Incident Turn 1"
196,NASCAR Xfinity Series Championship,108,113,Accident,"#5, 31 Incident Turn 1"
197,NASCAR Xfinity Series Championship,126,134,Accident,#99 Incident Frontstretch  
198,NASCAR Xfinity Series Championship,136,140,Spin,#48 Spin Turn 2
199,NASCAR Xfinity Series Championship,182,187,Spin,#16 Spin Turn 2
200,NASCAR Xfinity Series Championship,189,192,Accident,"#10, 78 Incident Turn 4"
201,NASCAR Xfinity Series Championship,195,202,Accident,"#48, 92 Incident Turn 3"
202,Alsco Uniforms 300,22,25,Competition,Competition
203,Alsco Uniforms 300,28,31,Accident,"#13, 26 Incident Frontstretch"
204,Alsco Uniforms 300,47,52,Competition,Stage 1 Conclusion
205,NextEra Energy 250,2,5,Accident,"#44, 19, 56 Incident Frontstretch"
206,NextEra Energy 250,22,26,Competition,Stage 1 Conclusion
207,NextEra Energy 250,36,38,Spin,#19 Spin Turn 3
208,NextEra Energy 250,42,46,Competition,Stage 2 Conclusion
209,NextEra Energy 250,54,58,Accident,"#19, 40 Incident Turn 4"
210,NextEra Energy 250,62,64,Accident,"#3, 22, 52 Incident Frontstretch"
211,NextEra Energy 250,66,69,Accident,"#33, 2, 52, 26, 38 Incident Frontstretch "
212,NextEra Energy 250,73,78,Accident,"#38, 88, 12, 52, 45, 4 Incident Turn 2"
213,NextEra Energy 250,82,85,Accident,#1 Incident Backstretch
214,NextEra Energy 250,96,99,Accident,"#26, 25, 4, 51, 24, 16, 13, 12, 28, 42  Incident Turn 2"
215,United Rentals 200,47,56,Spin,#04 Spin Turn 4 / Stage 1 Conclusion
216,United Rentals 200,66,71,Accident,"#24, 04 Incident Turn 2"
217,United Rentals 200,82,86,Debris,Debris Frontstretch
218,United Rentals 200,89,95,Accident,"#34, 15, 41, 40, 33, 25, 04, 32 Incident Frontstretch "
219,United Rentals 200,102,110,Competition,Stage 2 Conclusion
220,United Rentals 200,116,123,Accident,#10 Incident Turn 2
221,United Rentals 200,131,140,Accident,"#4, 22 Incident Turn 3"
222,United Rentals 200,143,146,Accident,"#19, 45 Incident Turn 4"
223,United Rentals 200,150,154,Accident,"#3, 24, 41 Incident Turn 4"
224,United Rentals 200,158,163,Accident,"#75, 13 Incident Turn 3  "
225,United Rentals 200,178,183,Accident,"#13, 75 Incident Turn 3"
226,United Rentals 200,186,192,Accident,"#51, 12, 98, 25, 88, 19, 30 Incident Turn 4 "
227,United Rentals 200,198,202,Accident,"#41, 51 Incident Frontstretch"
228,United Rentals 200,204,204,Accident,"#38, 52 Incident Frontstretch"
229,New Holland 250,17,20,Competition,Competition
230,New Holland 250,23,26,Accident,#90 Incident Turn 4
231,New Holland 250,32,35,Competition,Stage 1 Conclusion
232,New Holland 250,37,45,Accident,"#2, 11, 18, 22, 61, 68, 07 Incident Turn 2"
233,New Holland 250,62,66,Competition,Stage 2 Conclusion
234,New Holland 250,117,120,Unknown,#10 Stalled On Track
